Reaction Time
0.9704719
1.346035
0.8294635
0.2366482
0.1950266
0.9848687
1.172905
0.9897529
1.002273
1.065237
1.003834
0.9835085
0.3866581
1.281108
0.9161343
0.9432771
1.202206
1.478536
1.326135
1.002549
1.054986
0.0987068
1.051777
0.9235105
1.577838
1.305294
1.289934
1.951786
1.47419
2.454278
1.646214
1.38798
1.277678
1.357197
0.3982305
1.745483
1.958351
1.460093
1.370529
1.985497
3.6112
1.218255
1.133038
1.058549
1.022044
0.84446
2.279223
1.521061
2.128015
1.165304
0.7490596
1.605736
1.398731
1.156996
0.8987644
1.428549
1.67658
1.525517
0.9897289
2.354703
0.3111032
1.034504
1.261886
0.2597268
1.450984
1.793195
0.2972481
1.156312
1.324785
1.182899
1.813635
1.332275
0.3894453
1.104219
1.217829
1.37009
1.487454
1.260507
1.282899
1.630524
1.354326
1.061885
1.300496
0.4264617
1.506729
0.3245977
1.206118
0.9721382
1.593963
1.157084
1.213066
2.300506
1.496186
1.367314
1.13009
1.396927
2.544261
1.101424
1.214285
2.704131
0.9245405
1.044097
2.564797
1.130221
1.245274
1.960868
1.233224
1.393758
2.582144
1.937686
1.31762
0.214522
1.82847
1.439472
1.927371
0.1294306
0.4505664
1.636557
1.849343
1.82798
0.841812
2.143233
1.158236
0.2145113
1.266308
1.778359
1.21895
4.847236
1.589096
1.620007
2.347764
1.086526
0.8814667
0.9084804
0.0690404
0.2587978
2.331035
1.489047
0.346915
1.068436
1.467275
1.495834
2.281314
1.141562
1.812621
1.500622
2.467816
1.630633
1.454245
1.365734
1.508671
0.8168666
1.086044
1.204207
1.241937
1.453088
0.4722844
3.427065
1.742751
1.241856
1.22918
2.08349
0.7904162
1.910153
1.115183
0.8918008
1.411515
1.129394
1.30654
1.443053
0.0959818
2.362474
1.506949
1.800637
2.084833
1.291124
1.486543
1.437675
1.509894
1.334202
1.460128
1.80995
1.189554
1.065894
2.50576
1.256942
1.135334
2.151827
2.479225
1.228436
1.277703
1.246437
1.573422
3.372276
1.095742
2.949094
